12.000000,1.000000,0.250000,0.416667,0.166667,0.166667.1,0.000000,1.000000.1
52.0,1.0,0.307692,0.038462,0.038462,0.173077,0.0,1.0
55.0,1.0,0.290909,0.036364,0.036364,0.163636,0.0,1.0
54.0,1.0,0.296296,0.037037,0.037037,0.166667,0.0,1.0
57.0,1.0,0.280702,0.035088,0.035088,0.157895,0.0,1.0
57.0,1.0,0.280702,0.035088,0.035088,0.157895,0.0,1.0
53.0,1.0,0.301887,0.037736,0.037736,0.169811,0.0,1.0
53.0,1.0,0.301887,0.037736,0.037736,0.169811,0.0,1.0
53.0,1.0,0.301887,0.037736,0.037736,0.169811,0.0,1.0
52.0,1.0,0.173077,0.038462,0.038462,0.192308,0.0,1.0
48.0,0.0,0.0,0.0625,0.104167,0.145833,0.0,1.0
52.0,1.0,0.0,0.0,0.076923,0.096154,0.0,1.0
39.0,1.0,0.0,0.051282,0.153846,0.153846,0.0,1.0
68.0,1.0,0.014706,0.029412,0.147059,0.132353,0.0,1.0
49.0,0.0,0.0,0.081633,0.102041,0.142857,0.0,1.0
55.0,1.0,0.0,0.0,0.072727,0.090909,0.0,1.0
40.0,1.0,0.0,0.075,0.15,0.15,0.0,1.0
109.0,3.0,0.027523,0.055046,0.155963,0.073394,0.0,1.0
93.0,1.0,0.11828,0.032258,0.075269,0.107527,0.0,1.0
52.0,1.0,0.173077,0.019231,0.076923,0.096154,0.0,1.0
55.0,1.0,0.163636,0.036364,0.109091,0.090909,0.0,1.0
45.0,1.0,0.0,0.0,0.088889,0.044444,0.0,1.0
50.0,1.0,0.08,0.0,0.1,0.04,0.0,1.0
115.0,2.0,0.034783,0.0,0.121739,0.069565,0.0,1.0
40.0,0.0,0.0,0.0,0.2,0.1,0.0,1.0
27.0,0.0,0.0,0.148148,0.074074,0.111111,0.0,1.0
58.0,1.0,0.0,0.0,0.068966,0.034483,0.0,1.0
64.0,1.0,0.0,0.015625,0.109375,0.0625,0.0,1.0
54.0,1.0,0.0,0.0,0.12963,0.092593,0.0,1.0
58.0,1.0,0.0,0.0,0.068966,0.034483,0.0,1.0
81.0,1.0,0.0,0.012346,0.08642,0.049383,0.0,1.0
51.0,1.0,0.078431,0.0,0.117647,0.078431,0.0,1.0
48.0,1.0,0.0,0.0,0.083333,0.041667,0.0,1.0
52.0,1.0,0.076923,0.0,0.115385,0.038462,0.0,1.0
43.0,1.0,0.0,0.069767,0.093023,0.046512,0.0,1.0
108.0,2.0,0.037037,0.083333,0.12963,0.037037,0.0,1.0
284.0,5.0,0.028169,0.042254,0.137324,0.052817,0.0,1.0
73.0,3.0,0.013699,0.0,0.027397,0.027397,0.0,1.0
45.0,0.0,0.0,0.066667,0.111111,0.088889,0.0,1.0
49.0,1.0,0.0,0.0,0.081633,0.040816,0.0,1.0
11.0,1.0,0.0,0.181818,0.181818,0.363636,0.0,1.0
14.0,1.0,0.0,0.142857,0.142857,0.5,0.0,1.0
8.0,1.0,0.0,0.0,0.375,0.125,0.0,1.0
14.0,1.0,0.0,0.0,0.285714,0.357143,0.0,1.0
8.0,1.0,0.0,0.375,0.25,0.125,0.0,1.0
8.0,1.0,0.125,0.25,0.125,0.25,0.0,1.0
10.0,1.0,0.1,0.2,0.2,0.3,0.0,1.0
20.0,1.0,0.0,0.1,0.15,0.3,0.0,1.0
14.0,0.0,0.428571,0.071429,0.071429,0.428571,0.0,1.0
19.0,0.0,0.315789,0.315789,0.052632,0.315789,0.0,1.0
13.0,1.0,0.153846,0.0,0.153846,0.384615,0.0,1.0
20.0,1.0,0.15,0.0,0.1,0.25,0.0,1.0
72.0,0.0,0.0,0.0,0.097222,0.111111,0.0,1.0
73.0,0.0,0.0,0.082192,0.013699,0.191781,0.0,1.0
8.0,1.0,0.0,0.0,0.125,0.625,0.0,1.0
16.0,1.0,0.0,0.0,0.0625,0.3125,0.0,1.0
9.0,1.0,0.0,0.222222,0.222222,0.222222,0.0,1.0
16.0,1.0,0.0,0.125,0.1875,0.375,0.0,1.0
16.0,1.0,0.0,0.125,0.1875,0.375,0.0,1.0
9.0,1.0,0.111111,0.222222,0.222222,0.222222,0.0,1.0
31.0,3.0,0.129032,0.129032,0.064516,0.290323,0.0,1.0
30.0,3.0,0.133333,0.1,0.066667,0.333333,0.0,1.0
30.0,3.0,0.133333,0.1,0.066667,0.333333,0.0,1.0
30.0,3.0,0.133333,0.1,0.066667,0.333333,0.0,1.0
30.0,3.0,0.133333,0.1,0.066667,0.333333,0.0,1.0
11.0,1.0,0.0,0.181818,0.272727,0.363636,0.0,1.0
12.0,1.0,0.0,0.166667,0.25,0.333333,0.0,1.0
9.0,1.0,0.0,0.222222,0.222222,0.333333,0.0,1.0
9.0,1.0,0.0,0.222222,0.222222,0.333333,0.0,1.0
13.0,1.0,0.0,0.0,0.153846,0.538462,0.0,1.0
21.0,1.0,0.190476,0.0,0.142857,0.142857,0.0,1.0
25.0,1.0,0.16,0.0,0.16,0.2,0.0,1.0
14.0,0.0,0.428571,0.142857,0.142857,0.285714,0.0,1.0
30.0,2.0,0.0,0.033333,0.033333,0.233333,0.0,1.0
84.0,2.0,0.0,0.02381,0.083333,0.130952,0.0,1.0
10.0,0.0,0.0,0.0,0.2,0.4,0.0,1.0
31.0,0.0,0.258065,0.064516,0.064516,0.258065,0.0,1.0
15.0,1.0,0.0,0.133333,0.133333,0.6,0.0,1.0
16.0,0.0,0.4375,0.3125,0.1875,0.0625,0.0,1.0
28.0,1.0,0.178571,0.071429,0.0,0.285714,0.0,1.0
34.0,2.0,0.147059,0.117647,0.0,0.294118,0.0,1.0
25.0,2.0,0.2,0.16,0.0,0.36,0.0,1.0
24.0,1.0,0.208333,0.25,0.0,0.375,0.0,1.0
27.0,1.0,0.185185,0.074074,0.0,0.296296,0.0,1.0
21.0,1.0,0.238095,0.190476,0.0,0.380952,0.0,1.0
17.0,1.0,0.0,0.0,0.0,0.294118,0.0,1.0
21.0,1.0,0.0,0.095238,0.0,0.285714,0.0,1.0
97.0,4.0,0.0,0.041237,0.0,0.226804,0.0,1.0
143.0,4.0,0.076923,0.174825,0.0,0.181818,0.0,1.0
30.0,1.0,0.166667,0.066667,0.033333,0.3,0.0,1.0
36.0,2.0,0.138889,0.111111,0.027778,0.305556,0.0,1.0
27.0,2.0,0.185185,0.148148,0.037037,0.37037,0.0,1.0
26.0,1.0,0.192308,0.230769,0.038462,0.384615,0.0,1.0
29.0,1.0,0.172414,0.068966,0.034483,0.310345,0.0,1.0
23.0,1.0,0.217391,0.173913,0.043478,0.391304,0.0,1.0
19.0,1.0,0.0,0.0,0.052632,0.315789,0.0,1.0
23.0,1.0,0.0,0.086957,0.043478,0.304348,0.0,1.0
99.0,4.0,0.0,0.040404,0.010101,0.232323,0.0,1.0
145.0,4.0,0.075862,0.172414,0.006897,0.186207,0.0,1.0
26.0,1.0,0.461538,0.153846,0.076923,0.307692,0.0,1.0
39.0,1.0,0.564103,0.076923,0.102564,0.25641,0.0,1.0
35.0,1.0,0.628571,0.085714,0.114286,0.171429,0.0,1.0
36.0,3.0,0.472222,0.083333,0.111111,0.277778,0.0,1.0
38.0,2.0,0.315789,0.105263,0.131579,0.315789,0.0,1.0
28.0,3.0,0.0,0.071429,0.214286,0.25,0.0,1.0
28.0,1.0,0.428571,0.142857,0.107143,0.321429,0.0,1.0
34.0,1.0,0.176471,0.117647,0.117647,0.147059,0.0,1.0
27.0,1.0,0.444444,0.148148,0.111111,0.296296,0.0,1.0
11.0,1.0,0.454545,0.181818,0.090909,0.272727,0.0,1.0
9.0,1.0,0.555556,0.222222,0.0,0.222222,0.0,1.0
13.0,1.0,0.384615,0.153846,0.076923,0.384615,0.0,1.0
11.0,1.0,0.454545,0.181818,0.090909,0.272727,0.0,1.0
12.0,1.0,0.0,0.166667,0.0,0.166667,0.0,1.0
14.0,1.0,0.0,0.142857,0.071429,0.214286,0.0,1.0
12.0,0.0,0.583333,0.166667,0.0,0.166667,0.0,1.0
52.0,4.0,0.096154,0.134615,0.019231,0.269231,0.0,1.0
54.0,4.0,0.092593,0.12963,0.037037,0.277778,0.0,1.0
20.0,1.0,0.65,0.1,0.0,0.15,0.0,1.0
76.0,5.0,0.039474,0.118421,0.118421,0.184211,0.0,1.0
31.0,1.0,0.0,0.193548,0.064516,0.322581,0.0,1.0
27.0,1.0,0.0,0.148148,0.037037,0.37037,0.0,1.0
27.0,1.0,0.0,0.148148,0.074074,0.333333,0.0,1.0
20.0,2.0,0.0,0.1,0.1,0.25,0.0,1.0
21.0,2.0,0.0,0.142857,0.095238,0.238095,0.0,1.0
22.0,2.0,0.0,0.090909,0.090909,0.272727,0.0,1.0
21.0,2.0,0.0,0.095238,0.095238,0.285714,0.0,1.0
22.0,2.0,0.0,0.136364,0.090909,0.272727,0.0,1.0
21.0,2.0,0.0,0.095238,0.095238,0.285714,0.0,1.0
22.0,2.0,0.0,0.090909,0.090909,0.318182,0.0,1.0
22.0,2.0,0.0,0.090909,0.090909,0.318182,0.0,1.0
21.0,2.0,0.0,0.095238,0.095238,0.333333,0.0,1.0
20.0,2.0,0.0,0.1,0.1,0.25,0.0,1.0
18.0,2.0,0.0,0.166667,0.111111,0.277778,0.0,1.0
19.0,2.0,0.0,0.105263,0.105263,0.315789,0.0,1.0
18.0,2.0,0.0,0.111111,0.111111,0.333333,0.0,1.0
19.0,2.0,0.0,0.157895,0.105263,0.315789,0.0,1.0
18.0,2.0,0.0,0.111111,0.111111,0.333333,0.0,1.0
19.0,2.0,0.0,0.105263,0.105263,0.368421,0.0,1.0
19.0,2.0,0.0,0.105263,0.105263,0.368421,0.0,1.0
